# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.12.0
#@/tick	3579
#@/user_id	75e113b6-15e1-4610-862b-e87c7177b302
jie gou 	结构	c=3 d=1.25389 t=3579
jie gou ti 	结构体	c=2 d=0.954419 t=3579
jie guo 	结果	c=2 d=0.569637 t=3579
jie jian 	借鉴	c=0 d=0.0740818 t=3579
jie jue 	解决	c=2 d=1.1024 t=3579
jie mian 	界面	c=2 d=1.15598 t=3579
jie ping 	截屏	c=1 d=0.904837 t=3579
jie shi 	解释	c=4 d=2.91246 t=3579
jie shou 	接受	c=1 d=0.451581 t=3579
jie shu 	结束	c=1 d=0.271173 t=3579
jie tu 	截图	c=1 d=0.847894 t=3579
jie wei 	结尾	c=1 d=0.771052 t=3579
jie xia lai 	接下来	c=2 d=1.03557 t=3579
jie ya 	解压	c=1 d=0.790571 t=3579
jin 	进	c=0 d=0.0690734 t=3579
jin hai hu 	金海湖	c=1 d=0.650509 t=3579
jin tian 	今天	c=4 d=2.26078 t=3579
jin zi 	金子	c=1 d=0.946485 t=3579
jing chang 	经常	c=1 d=0.579842 t=3579
jing dian 	经典	c=1 d=0.965605 t=3579
jing ran 	竟然	c=1 d=0.918512 t=3579
jiu 	就	c=31 d=6.77079 t=3579
jiu 	救	c=1 d=1 t=3579
jiu dang 	就当	c=1 d=0.594521 t=3579
jiu hao 	就好	c=1 d=0.995012 t=3579
jiu shi 	就是	c=26 d=4.76745 t=3579
jiu shi yao 	就是要	c=1 d=0.771052 t=3579
jiu shuo 	就说	c=1 d=0.865022 t=3579
jiu wo 	就我	c=0 d=0.099005 t=3579
jiu wo gou ming 	就我狗命	c=1 d=0.995012 t=3579
jiu xing 	就行	c=3 d=1.84736 t=3579
jiu zhe 	就这	c=1 d=0.918512 t=3579
jiu zhi zhi dao 	就只知道	c=1 d=0.937067 t=3579
ju 	巨	c=1 d=0.657047 t=3579
ju ge 	举个	c=2 d=1.39496 t=3579
ju hao 	句号	c=1 d=0.995012 t=3579
ju jue 	拒绝	c=1 d=0.937067 t=3579
jue de 	觉得	c=2 d=0.961064 t=3579
jue di 	绝地	c=1 d=0.644036 t=3579
jue dui 	绝对	c=4 d=2.66653 t=3579
jue dui dao ru 	绝对导入	c=1 d=0.647265 t=3579
ka le 	卡了	c=1 d=0.185444 t=3579
kai 	开	c=1 d=1 t=3556
kai qi 	开启	c=2 d=0.766996 t=3579
kai shi 	开始	c=3 d=0.657047 t=3579
kan 	看	c=13 d=4.53001 t=3579
kan dao 	看到	c=2 d=0.788433 t=3579
kan kan 	看看	c=10 d=4.4737 t=3579
kan wo 	看我	c=1 d=0.951229 t=3579
kan yi xia 	看一下	c=1 d=0.882497 t=3579
kan zhe 	看着	c=1 d=0.847894 t=3579
kang kang 	康康	c=2 d=1.68026 t=3579
kao lv 	考虑	c=2 d=0.415052 t=3579
kao pu dian 	靠谱点	c=1 d=0.923116 t=3579
ke ai 	可爱	c=1 d=0.612626 t=3579
ke bu ke yi 	可不可以	c=1 d=0.97531 t=3579
ke ji 	柯基	c=1 d=0.960789 t=3579
ke neng 	可能	c=4 d=2.65221 t=3579
ke shi 	可是	c=1 d=0.618783 t=3579
ke wu 	可恶	c=2 d=1.77964 t=3579
ke xuan 	可选	c=1 d=0.331211 t=3579
ke yi 	可以	c=23 d=5.03228 t=3579
ke yi le 	可以了	c=1 d=0.579842 t=3579
ke yi ma 	可以吗	c=1 d=0.514274 t=3579
ken ding 	肯定	c=2 d=1.13696 t=3579
kou le 	扣了	c=0 d=0.0232236 t=3579
kou le dian 	扣了点	c=1 d=0.2334 t=3579
kua 	夸	c=0 d=0.0740818 t=3579
kua jie jian 	夸借鉴	c=1 d=0.744532 t=3579
kua xi tong 	跨系统	c=1 d=0.818731 t=3579
kuai 	块	c=2 d=0.937067 t=3579
kuai 	快	c=3 d=1.79791 t=3579
kuai jie jian 	快捷键	c=4 d=2.1381 t=3579
kuai qian 	块钱	c=1 d=1 t=3579
kuai su 	快速	c=3 d=2.75516 t=3579
kuai su da 	快速打	c=0 d=0.191209 t=3579
kuai su da yi duan zi 	快速打一段子	c=1 d=0.970446 t=3579
kuai su da yi duan zi mu 	快速打一段字母	c=1 d=0.951229 t=3579
kuai zhao 	快照	c=1 d=0.362402 t=3579
kuo hao 	括号	c=1 d=0.798516 t=3579
lai 	来	c=7 d=2.28965 t=3579
lan de 	懒得	c=0 d=0.0744532 t=3579
lao 	佬	c=1 d=0.88692 t=3579
lao ban tian 	老半天	c=1 d=0.509156 t=3579
lao gui 	老鬼	c=0 d=0.0923116 t=3579
lao gui le ba 	老鬼了吧	c=1 d=0.927743 t=3579
